Tweet,Fecha,Locacion,Tipo,Longitud,Latitud,Poblacion,,
"•La @DMSPDGO, implementa 10 filtros sanitarios en la ciudad, para prevenir contagios por #COVID19, se busca: 

-Que… https://t.co/J73WxbTEp8",Wed Apr 22 17:04:27 +0000 2020,"Durango, Durango, Metates (Tenchontle)",R,-104.837578,23.9541625,194,,
Si se están dando cuenta los jueces Dto  q suspensiones q otorgan a burócratas sanitarios les permiten no ir a trab… https://t.co/oqkJ6vPZu0,Wed Apr 22 17:22:38 +0000 2020,"Querétaro, Querétaro, El Huizachal de las Tetillas",R,-100.4405945,20.7152745,97,,
@PolloVenenoso De este lado estuvo (y andamos) igual. Llegaron los spring breakers y sin filtros sanitarios en los aeropuertos.,Wed Apr 22 17:44:00 +0000 2020,"Baja California Sur, La Paz, Aguajito de Castro",R,-110.8545845,24.107997,0,,
Productos sanitarios para Hospitales y Centros de Salud. Conocé el sistema PLASTITEX que contribuye a reducir el ri… https://t.co/G4jU734D7o,Wed Apr 22 18:19:12 +0000 2020,"Chiapas, Tuxtla Gutiérrez, Tuxtla Gutiérrez",U,-93.1396595,16.7424355,578830,,
"Retex. Productos sanitarios para Hospitales y Centros de Salud.
Información al celular 961 197 6430",Wed Apr 22 18:20:26 +0000 2020,"Chiapas, Tuxtla Gutiérrez, Tuxtla Gutiérrez",U,-93.1396595,16.7424355,578830,,
"@JaliscoRojo Y seguramente comparten celda, sin protocolos sanitarios. Habrán desinfectado antes las celdas mínimo?",Wed Apr 22 19:56:21 +0000 2020,"Zacatecas, Villa de Cos, La Soledad (Juan Antonio Cortés)",R,-102.5580375,23.6254185,2,,
"En veterinaria utilizamos una técnica ancestral llamada rifle sanitario, por si quieren echarle un ojo.",Wed Apr 22 20:33:37 +0000 2020,"Ciudad de México, Coyoacán, Coyoacán",U,-99.15234,19.328383,614447,,
El demensial @realDonaldTrump   Buscando distraer del desastre sanitario en el país más poderoso del mundo...,Wed Apr 22 22:12:11 +0000 2020,"Ciudad de México, La Magdalena Contreras, La Magdalena Contreras",U,-99.2480095,19.318042,246428,,
Mientras nosotros agredemos a nuestro personal sanitario y medico😢.... En todos los demas paises les agradecen y ha… https://t.co/aLH4MTRXPB,Wed Apr 22 22:13:31 +0000 2020,"México, Toluca, San Mateo Otzacatipan",U,-99.6050475,19.326146,22574,,
Colocan filtro sanitario en aeropuerto de Morelos https://t.co/1fo5kKpfnh,Thu Apr 23 13:55:42 +0000 2020,"Morelos, Cuernavaca, Las Minas (Las Minas del Tecolote)",R,-99.260819,18.933812,78,,
"Recordar que existe el compromiso del Gobernador @ATelloC de construir un nuevo relleno sanitario, desde su campaña.",Thu Apr 23 14:05:12 +0000 2020,"Zacatecas, Fresnillo, El Zacatón (Manuel López)",R,-103.0026835,23.226249,0,,
"No da el que tiene, sino el que quiere. Hace dos semanas comenzamos a adquirir material sanitario para las mujeres… https://t.co/UQFYFcvoUG",Thu Apr 23 14:41:25 +0000 2020,"Guerrero, Acapulco de Juárez, El Zapote (Kilómetro Trece)",R,-99.7356495,16.9589495,5,,
"¡Ellos son los héroes que no ves!

En Vigue relleno sanitario se le da un manejo adecuado a la basura para su dispo… https://t.co/Zpg4N6TKnb",Thu Apr 23 15:03:52 +0000 2020,"Nuevo León, Salinas Victoria, Rancho de Rubén",R,-100.244559,26.1232495,6,,
"La SSyPC refuerza filtros sanitarios en las 51  delegaciones de la Policía de Tránsito en el estado, continuando co… https://t.co/h2apzHoZMo",Thu Apr 23 15:09:18 +0000 2020,"Chiapas, Tuxtla Gutiérrez, Tuxtla Gutiérrez",U,-93.1396595,16.7424355,578830,,
"¡Ellos son los héroes que no ves!

En Vigue relleno sanitario trabajamos a favor del medio ambiente, dándole un man… https://t.co/Nv4t2XVyYM",Thu Apr 23 15:35:44 +0000 2020,"Nuevo León, Salinas Victoria, El Coyote",R,-100.307079,25.880153,2,,
"#NoticiasDMX ● Nos tocó un filtro sanitario de la DMSP. Esto nos dijo el oficial. en Durango Centro, Durango https://t.co/WznzAG418m",Thu Apr 23 16:04:20 +0000 2020,"Durango, Durango, Metates (Tenchontle)",R,-104.837578,23.9541625,194,,
"Dentro de las medidas anunciadas por el Gobierno de Oaxaca, está el incrementar los cercos sanitarios, incluye cerr… https://t.co/hZsgIXYmVt",Thu Apr 23 17:14:45 +0000 2020,"Oaxaca, Oaxaca de Juárez, Cuatro Vientos",R,-96.7250025,17.090319,6,,
"No te pierdas la transmisión de @COFEPRIS: Contra Riesgos Sanitarios ""Radio Nacional de Salud"".

🗓 Lun - Vie, 12 pm… https://t.co/eCQ41UvTp4",Thu Apr 23 18:04:34 +0000 2020,"Ciudad de México, Coyoacán, Coyoacán",U,-99.15234,19.328383,614447,,
"Aclara @AntonioBrachoM que hasta el momento, los filtros sanitarios en los que participa la @DMSPDGO solo están rea… https://t.co/3wU2xzX4EB",Thu Apr 23 19:18:06 +0000 2020,"Durango, Durango, Metates (Tenchontle)",R,-104.837578,23.9541625,194,,
"#RealDelMonte
Insuficientes medidas en los filtros sanitarios por #COVID19mx 
https://t.co/jgmhRhaXi2 https://t.co/hAjFbtdl0l",Thu Apr 23 20:15:13 +0000 2020,"Hidalgo, Pachuca de Soto, Aquiles Serdán",R,-98.775808,20.1056375,0,,
"Urge reforzar medidas en filtros sanitarios municipales

@gobiernohidalgo omarfayad @SSH_Hidalgo #OperativoEscudo… https://t.co/19WqhM3P5Q",Thu Apr 23 21:59:32 +0000 2020,"Hidalgo, Mineral del Monte, San Pedro Huixotitla",R,-98.6511475,20.1462295,265,,
@A3Noticias Quiero mi pasaporte sanitario,Thu Apr 23 22:08:25 +0000 2020,"Ciudad de México, Benito Juárez, Benito Juárez",U,-99.1614805,19.380613,434153,,
"#AlMomento México enfrenta una de las peores crisis de su historia en lo sanitario, político y económico asegura lí… https://t.co/4UOdMoPhcC",Fri Apr 24 00:44:22 +0000 2020,"Yucatán, Progreso, Recamex [Canteras]",R,-89.6748995,21.22812,0,,
@lizethhm_ SANITARIOS jajajajajajajajajajaj,Fri Apr 24 05:02:07 +0000 2020,"Sinaloa, Culiacán, Santa Lucía",R,-107.3420565,24.6624885,0,,
@MiguelEfrainHD @CarlosJoaquin Será todo los días hasta que se levante el cerco sanitario.,Fri Apr 24 05:09:40 +0000 2020,"Quintana Roo, Benito Juárez, Los García",R,-87.0316645,21.048719,0,,
😷🤪🦠 aprovechando que fui al módulo sanitario de Cruz Roja en plaza río en Awiwis_oficial https://t.co/9n4cYDt8zS,Fri Apr 24 05:55:34 +0000 2020,"Baja California, Playas de Rosarito, Mesa Redonda",R,-116.929102,32.3328765,9,,
"con otros estados.

En el Consejo Estatal de Salud también se acordó la instalación de filtros sanitarios en tiangu… https://t.co/PYcSKHuO8F",Fri Apr 24 11:10:24 +0000 2020,"Tlaxcala, Apizaco, San Luis Apizaquito",U,-98.1218485,19.4260765,7234,,
"Filtro sanitario #COVID19
Por tu seguridad y la de tu familia #QuedateEnCasa
Trabajamos por un #DurangoSeguro. https://t.co/Yso5zlDaEF",Fri Apr 24 13:21:35 +0000 2020,"Durango, Durango, Metates (Tenchontle)",R,-104.837578,23.9541625,194,,
"Creo que en esta cuarentena me chute el 80% de las historias de instagram de mi timeline.

#AplausoSanitario",Fri Apr 24 15:03:44 +0000 2020,"Michoacán de Ocampo, Morelia, Roca Dura",R,-101.27577,19.652724,268,,
"• Para reforzar medidas de prevención ante el #COVID19, @DurangoCap y el @gobdgo, instalarán más filtros sanitarios… https://t.co/1f1RdiPtvl",Fri Apr 24 17:47:47 +0000 2020,"Durango, Durango, Metates (Tenchontle)",R,-104.837578,23.9541625,194,,
"Se da inicio a los filtros sanitarios de COVID19.
Por tu seguridad y la de tu familia #QuedateEnCasa
@PozoRiestra https://t.co/eUZhxNcXgK",Fri Apr 24 18:58:44 +0000 2020,"Durango, Durango, Metates (Tenchontle)",R,-104.837578,23.9541625,194,,
"🇲🇽 México enfrenta una de las peores crisis de su historia en lo sanitario, económico, político y y social.… https://t.co/CEmuITzsUY",Fri Apr 24 19:11:38 +0000 2020,"Guanajuato, Acámbaro, Santa María",R,-100.744933,20.0714755,6,,
"El COVID-19 se presenta como una auténtica amenaza a los sistemas sanitarios  y a la salud de la población, y una m… https://t.co/xbCmtrvonw",Fri Apr 24 19:28:27 +0000 2020,"Chiapas, San Cristóbal de las Casas, Anexo Nuevo Corral Che'N el Ángel",R,-92.534411,16.6630445,15,,
"No te pierdas la transmisión de @COFEPRIS: Contra Riesgos Sanitarios ""Radio Nacional de Salud"".

🗓 Lun - Vie, 12 pm… https://t.co/XkMaqpRq6Q",Fri Apr 24 20:15:40 +0000 2020,"Ciudad de México, Miguel Hidalgo, Miguel Hidalgo",U,-99.2115105,19.4299345,414470,,
"👷🏼‍♂️#ElBachero realizó trabajos de mantenimiento preventivo vial en: 

🚧 Camino a Relleno Sanitario entre Periféri… https://t.co/ZIPd7ZaVLI",Fri Apr 24 20:48:55 +0000 2020,"Puebla, Puebla, Fundadores del Ejido Colonia Chapultepec",R,-98.1542665,19.0322295,550,,
Filtro sanitario. https://t.co/rJT4Z0mV9h,Fri Apr 24 22:09:20 +0000 2020,"Tabasco, Jalpa de Méndez, Ribera del Puente",R,-93.1054765,18.2384565,186,,
@TVale2012 Ya se está saturando los servicios sanitarios 😳😥😓,Fri Apr 24 22:15:48 +0000 2020,"Ciudad de México, Tláhuac, Las Calabacitas",R,-99.050461,19.3427885,19,,
@rubengluengas Otra versión es que salió de prisión por riesgo sanitario.,Fri Apr 24 22:59:59 +0000 2020,"Ciudad de México, Gustavo A. Madero, Gustavo A. Madero",U,-99.1158905,19.518656,1173351,,
Ya soy donador de la campaña Insumos sanitarios para apoyo de hospitales públicos en @DonadoraMX. ¡Tú también puede… https://t.co/CR1VBozgjk,Tue Mar 31 05:11:36 +0000 2020,"Ciudad de México, Tlalpan, Cañada del Acueducto",R,-99.208364,19.199485,161,,
Te compartimos la #actualización al #ProtocoloSanitario de atención para personas en #CentrosDeHospedaje y… https://t.co/wVuEhbff0b,Sat Apr 25 15:18:46 +0000 2020,"México, Tepotzotlán, El Jagüey",R,-99.3085765,19.713749,251,,
Y una oposición que salga de algún lado y prometa llevar a los responsables de todo este desastre sanitario y econó… https://t.co/InobGnBABr,Sat Apr 25 15:52:40 +0000 2020,"Ciudad de México, La Magdalena Contreras, La Magdalena Contreras",U,-99.2480095,19.318042,246428,,
"✔️ Contribuyes a reducir el espacio que ocupan los residuos sólidos en los rellenos sanitarios y tiraderos, ayudas… https://t.co/S0UQmhuVrU",Sat Apr 25 17:01:37 +0000 2020,"Tamaulipas, Victoria, La Esperanza",R,-99.187904,23.685934,0,,
"Si alguien quiere apoyar al personal sanitario, la fundación @DrSonrisasAC está haciendo una labor muy linda en lle… https://t.co/Fk0taN6G5f",Sat Apr 25 18:35:18 +0000 2020,"Ciudad de México, La Magdalena Contreras, La Magdalena Contreras",U,-99.2480095,19.318042,246428,,
"Hoy que nos damos cuenta que EL PERSONAL SANITARIO es objeto de agresiones, me junto con súper héroes para llevarle… https://t.co/zF8zL3eanx",Sat Apr 25 22:17:17 +0000 2020,"Ciudad de México, Cuauhtémoc, Cuauhtémoc",U,-99.153366,19.432836,545884,,
@CANAL44TV @udg_oficial @OficialCUCS Las medidas de sanitarios porque no mas lo hicieron a lo menso,Sat Apr 25 22:18:32 +0000 2020,"Jalisco, San Pedro Tlaquepaque, Colonia Cerro del Cuatro",R,-103.348324,20.592133,0,,
Y el Gatell porque lo llevó? Eso indica que no tienen medidas de control sanitario.,Sat Apr 25 22:26:19 +0000 2020,"Puebla, Puebla, Fundadores del Ejido Colonia Chapultepec",R,-98.1542665,19.0322295,550,,
En @elconfidencial: Once médicos muertos en Italia en dos días y ya suman 61 sanitarios fallecidos https://t.co/JuXSiZgN0u,Tue Mar 31 06:18:57 +0000 2020,"Ciudad de México, Coyoacán, Coyoacán",U,-99.1525965,19.3206955,614447,,
"""El personal sanitario protagoniza la portada de The New Yorker""  https://t.co/OC6fKHa2Gh",Tue Mar 31 11:39:00 +0000 2020,"Ciudad de México, Xochimilco, Tlacualleli (El Calvario)",R,-99.08179,19.2362445,91,,
El personal sanitario protagoniza la portada de The New Yorker  https://t.co/Hfh8zLvtxT,Tue Mar 31 12:52:15 +0000 2020,"Quintana Roo, Solidaridad, San Carlos",R,-87.346982,20.5845305,27,,
Se nota... Respiradores a 3.1 millones de pesos c/uno... Compras sin el respectivo permiso de ingreso sanitario al… https://t.co/pdEbx2ZBK8,Tue Mar 31 14:03:06 +0000 2020,"Ciudad de México, Miguel Hidalgo, Miguel Hidalgo",U,-99.2115105,19.4299345,414470,,
En Mx nada se ha dicho sobre el tratamiento preventivo sanitario a personas en reclusión. Podría ser punto de refer… https://t.co/hxdpnzIHJE,Tue Mar 31 16:17:37 +0000 2020,"Quintana Roo, Benito Juárez, Los García",R,-87.0316645,21.048719,0,,
"(7) sanitario. Ahora se toman medidas de deseperaciòn porque ya no pueden con la situación.
#LopezElNarcoVirus
#LopezLiesToTheWorld",Tue Mar 31 17:25:26 +0000 2020,"Yucatán, Mérida, Palestino Necaxa",R,-89.623611,20.941035,0,,
Estreno en nuestras estaciones hermanas: Contra riesgos sanitarios: Radio Nacional de la Salud.,Tue Mar 31 18:30:27 +0000 2020,"Ciudad de México, La Magdalena Contreras, La Magdalena Contreras",U,-99.2480095,19.318042,246428,,
"EXTRACTORES PARA MURO DE 8"" 10"" Y 12"" para oficinas, aulas, sanitarios, etc.
https://t.co/FOYGxhuxCJ
Tels. 557026-0… https://t.co/1W1DlUG0Ny",Tue Mar 31 19:07:19 +0000 2020,"Ciudad de México, Tláhuac, Las Calabacitas",R,-99.050461,19.3427885,19,,
@CarlosLoret AMLO hace política para mantener entretenidos a la posición y deja a los sanitarios hacer lo que saben… https://t.co/N6gHMtnCL3,Tue Mar 31 21:24:46 +0000 2020,"San Luis Potosí, San Luis Potosí, Jorge Ramos",R,-100.955511,22.3111195,0,,
"@CONTODODGO3 @titoavalos_dgo Si claro, dice que los que deben tener estos insumos son el personal sanitario. Por es… https://t.co/L7QgrhZ2sS",Tue Mar 31 21:27:39 +0000 2020,"Durango, Durango, Metates (Tenchontle)",R,-104.837578,23.9541625,194,,
El personal sanitario protagoniza la portada de The New Yorker  https://t.co/UXpAeIgrYE,Tue Mar 31 22:05:32 +0000 2020,"Quintana Roo, Solidaridad, San Carlos",R,-87.346982,20.5845305,27,,
"@LaNotaCotorra @HOYTamaulipas Son niños que fueron enseñados específicamente en lo relacionado a lo sanitario, con… https://t.co/Bnc06b6EQN",Wed Apr 01 01:42:46 +0000 2020,"Morelos, Jiutepec, Jiutepec",U,-99.1686505,18.8866865,174629,,
"#SiAlNuevoRellenoSanitario
Celebramos los esfuerzos del personal de limpia de Huauchinango, armandoles una delicios… https://t.co/zEOlOeigaY",Wed Apr 01 01:54:23 +0000 2020,"Puebla, Huauchinango, Huauchinango",U,-98.053888,20.1744365,58957,,
"#SiAlNuevoRellenoSanitario
Celebramos los esfuerzos del personal de limpia de Huauchinango, armandoles una delicios… https://t.co/2ySoXDkLTs",Wed Apr 01 01:55:05 +0000 2020,"Puebla, Huauchinango, Huauchinango",U,-98.053888,20.1744365,58957,,
"@Karsapan su sucursal La Patricia no atiende la sana distancia, ni hay ningún control sanitario. La panadería está… https://t.co/1jxmvEnoxQ",Wed Apr 01 02:42:42 +0000 2020,"Ciudad de México, Azcapotzalco, Azcapotzalco",U,-99.182126,19.4857835,432205,,
La @Cofepris ha mejorado mucho sus tiempos de respuesta en los trámites de registros sanitarios. Muy buen avance.… https://t.co/XGtWtUtSs7,Wed Apr 01 03:11:48 +0000 2020,"Ciudad de México, Miguel Hidalgo, Miguel Hidalgo",U,-99.2115105,19.4299345,414470,,
"A toda nuestra apreciable clientela, les informamos que seguiremos trabajando bajo los protocolos sanitarios emitid… https://t.co/kff9Sc6U2x",Wed Apr 01 03:14:51 +0000 2020,"Ciudad de México, Cuauhtémoc, Cuauhtémoc",U,-99.153366,19.432836,545884,,
Creo que @HLGatell debería dar a la @WHO la receta del control sanitario y la eficiencia en nuestros hospitales por… https://t.co/F36taO35DS,Wed Apr 01 04:21:53 +0000 2020,"Guerrero, Acapulco de Juárez, El Zapote (Kilómetro Trece)",R,-99.7356495,16.9589495,5,,
El personal sanitario protagoniza la portada de The New Yorker  https://t.co/CIQJTng75j,Wed Apr 01 08:47:56 +0000 2020,"Guerrero, Acapulco de Juárez, El Zapote (Kilómetro Trece)",R,-99.7356495,16.9589495,5,,
"Buenos días. En nuestra portada de hoy, anuncian mayores controles sanitarios en Jalisco @NTRGuadalajara https://t.co/qk6nUo9Cfd",Wed Apr 01 12:44:22 +0000 2020,"Jalisco, Zapopan, Las Palomas",R,-103.4847745,20.790657,0,,
"https://t.co/p4eR40iSia

Se fortalece equipamiento sanitario en Campeche. Agradece gobernador @AysaGonzalez respald… https://t.co/3WQxkL6Xmu",Wed Apr 01 15:14:23 +0000 2020,"Campeche, Campeche, Edzná F-Uno [Centro de Recría]",R,-90.27714,19.601414,0,,
Instala Estado 13 filtros sanitarios en puntos estratégicos de la entidad #PorqueTuSaludVale https://t.co/4DwzLKveeS,Wed Apr 01 16:45:57 +0000 2020,"Chihuahua, Juárez, Luis Carlos Ruiz",R,-106.568008,31.452274,0,,
"@LaJornadaMaya Ebrad declaro que somos exportadores de material sanitario, entonces porqué no hay dicho material en… https://t.co/5VUcVbquOb",Wed Apr 01 17:48:12 +0000 2020,"Ciudad de México, Benito Juárez, Benito Juárez",U,-99.1614805,19.380613,434153,,
"Quien será el rey del@mundo después de este evento sanitario, mientras el trumpas busca robar el petróleo de Venezu… https://t.co/hs7JvTKW2m",Wed Apr 01 17:59:13 +0000 2020,"México, Ecatepec de Morelos, Ecatepec de Morelos",U,-99.0444445,19.56828,1643623,,
@JaimeRdzNL Cerco sanitario en carreteras que convergen al centro del país. Desinfectar áreas públicas con equipo i… https://t.co/2ZHDcTm7f1,Wed Apr 01 18:38:14 +0000 2020,"Zacatecas, Villa de Cos, La Soledad (Juan Antonio Cortés)",R,-102.5580375,23.6254185,2,,
"@ZenTraderMx @esquivelgerardo Este Gerry ya se cree experto en epidemias, control sanitario, geógrafo No POS no car… https://t.co/ilfPRumqba",Wed Apr 01 19:15:42 +0000 2020,"Ciudad de México, Xochimilco, Tlacualleli (El Calvario)",R,-99.08179,19.2362445,91,,
La inútil Sheinbaum está llevando a la cdmx al colapso sanitario !!,Wed Apr 01 19:26:22 +0000 2020,"México, Atizapán de Zaragoza, Rancho Nuestra Señora de los Ángeles",R,-99.269192,19.5645875,16,,
Los residuos sanitarios (como tapabocas y pañuelos) deben rociarse con agua clorada y siempre entregarse separados… https://t.co/rT3S0K6GeL,Wed Apr 01 19:59:09 +0000 2020,"Ciudad de México, La Magdalena Contreras, La Magdalena Contreras",U,-99.2480095,19.318042,246428,,
@GobiernoMX Para ke quieres hospitales instala cercos  sanitarios en fronteras y cierra el aeropuerto internacional y listo,Wed Apr 01 20:19:48 +0000 2020,"Tamaulipas, Tampico, La Isleta Río Tamesí (Cruz Chica)",R,-97.916772,22.270295,19,,
@AsiEsMonterrey Cambio Papel Sanitario por Caguama,Wed Apr 01 20:30:53 +0000 2020,"Nuevo León, Santa Catarina, Buenos Aires",R,-100.482749,25.5835005,25,,
Habrá papel sanitario en el Costco? 🙄😂😂😂,Wed Apr 01 20:59:13 +0000 2020,"Sonora, Hermosillo, Vicente Guerrero",R,-111.498181,28.9698625,5,,
"“En México veo el panorama sumamente complicado. Al problema sanitario, que ya es gravísimo, se le suma el problema… https://t.co/fNtWoKhQJX",Wed Apr 01 22:05:37 +0000 2020,"Sonora, Hermosillo, Vicente Guerrero",R,-111.498181,28.9698625,5,,
@angelcharlsmty Y que empiecen los memes tipo los de hace una semana por el papel sanitario😀,Wed Apr 01 22:10:59 +0000 2020,"Nuevo León, Monterrey, Monterrey",U,-100.2935915,25.6417185,1142952,,
"Instalan filtro sanitario en el Golfo de Santa Clara. 

Verifican estado de salud a quienes ingresan, e invitan a v… https://t.co/nnSoAKs7ax",Wed Apr 01 22:23:51 +0000 2020,"Sonora, Hermosillo, Vicente Guerrero",R,-111.498181,28.9698625,5,,
"@ElAmaDeCasa1 Ayer me la tomaron a mi en un cerco sanitario que colocaron en mi pueblo y me dice el oficial, está b… https://t.co/4YCdBTfdLR",Wed Apr 01 22:34:21 +0000 2020,"Nuevo León, Sabinas Hidalgo, Las Palmas",R,-100.1429625,26.5772525,0,,
"Podría haber dado la instrucción de habilitar algunos domos con camas y equipos sanitarios, pero no, esto fue lo or… https://t.co/d2TvTtDLA4",Wed Apr 01 23:04:49 +0000 2020,"Jalisco, Mascota, Las Vegas",R,-105.1485805,20.6970525,6,,
@nitcanov Por eso se debe hacer la indicación en la bolsa que es residuo sanitario y al entregar la basura  comentarlo !,Thu Apr 02 01:08:27 +0000 2020,"Ciudad de México, Venustiano Carranza, Venustiano Carranza",U,-99.087817,19.4320755,443704,,
"El golpe sanitario de Sheinbaum y el contragolpe político de Ebrard

I N T E R E S A N TE 🤔

https://t.co/WCREMrnUXp",Thu Apr 02 03:41:09 +0000 2020,"Michoacán de Ocampo, Jiquilpan, Las Ánimas",R,-102.769417,19.965823,106,,
#León Instalan filtros sanitarios en accesos de la Central de Autobuses. Se trata de dos cámaras termográficas para… https://t.co/KBjJbkSoDh,Thu Apr 02 05:21:22 +0000 2020,"Guanajuato, León, Rancho de Don Alberto García",R,-101.601401,21.09806,1,,
Ciudad de México en Aislamiento Sanitario da miedo. Sobre todo de noche. https://t.co/yoMuFeApkd,Thu Apr 02 09:30:32 +0000 2020,"Ciudad de México, Cuauhtémoc, Cuauhtémoc",U,-99.174592,19.4365625,545884,,
"No se que pensar, despensas en #cdmx , tuneles sanitarios en #Monterrey 
Con razon los millenials no creen que somo… https://t.co/bxHRDTjm7h",Thu Apr 02 14:55:43 +0000 2020,"Baja California, Playas de Rosarito, Borja [Rancho]",R,-116.8888435,32.2524805,4,,
"Mi mayor reconocimiento a estos héroes anónimos.🙏
#serviciosdesalud #serviciosmedicos #personalsanitario… https://t.co/XZemnJpiNl",Thu Apr 02 16:40:44 +0000 2020,"Nuevo León, Monterrey, Monterrey",U,-100.2935915,25.6417185,1142952,,
"@michelleriveraa Coincido completamente, no se trata de cierre completo, se trata de iguales criterios sanitarios.",Thu Apr 02 17:41:09 +0000 2020,"Sonora, Nogales, La Escondida",R,-111.001401,31.192592,0,,
"No te pierdas la transmisión de @COFEPRIS: Contra Riesgos Sanitarios ""Radio Nacional de Salud"".

🗓 Lun - Vie, 12 pm… https://t.co/uavZVpCufH",Thu Apr 02 17:52:45 +0000 2020,"Ciudad de México, Coyoacán, Coyoacán",U,-99.15234,19.328383,614447,,
"@rtoursg @monerohernandez Que pena.

Así empieza la escasez de papel sanitario.",Thu Apr 02 19:20:48 +0000 2020,"Coahuila de Zaragoza, Saltillo, San Felipe",R,-101.166961,25.0326315,97,,
"Hospitales de competencia Federal y Estatales. 
#SaludParaTodos #MaterialSanitario",Thu Apr 02 19:56:17 +0000 2020,"Tabasco, Centro, Medellín y Pigua 1ra. Sección",R,-92.9164995,18.0219595,352,,
México mágico: donde las autoridades establecen un cerco sanitario en un poblado de acaponeta nayarit por un probab… https://t.co/X2y9ObvX3r,Thu Apr 02 20:13:05 +0000 2020,"Nayarit, Santiago Ixcuintla, El Mezcal",R,-105.3582975,21.9344925,156,,
@luis_gj @DoctorPropofol Y el primero que dice no hacer politiquería con el problema sanitario 🙄🤦🏻‍♂️,Thu Apr 02 20:43:50 +0000 2020,"México, Tlalnepantla de Baz, Ejido de Tenayuca (Cola de Caballo)",R,-99.1642825,19.543933,71,,
Alguien ha pensando en la salud de los recolectores de basura que diario recogen toneladas de residuos sanitarios (… https://t.co/3QzZs0hadA,Thu Apr 02 20:50:57 +0000 2020,"Ciudad de México, Coyoacán, Coyoacán",U,-99.15234,19.328383,614447,,
Alguien ha pensando en la salud de los recolectores de basura que diario recogen toneladas de residuos sanitarios d… https://t.co/QhLGHySuv5,Thu Apr 02 20:58:16 +0000 2020,"Ciudad de México, Coyoacán, Coyoacán",U,-99.15234,19.328383,614447,,
@SedecoCDMX Sanitarios públicos?,Thu Apr 02 23:28:33 +0000 2020,"Zacatecas, Villa de Cos, La Soledad (Juan Antonio Cortés)",R,-102.5580375,23.6254185,2,,
"@CesarGnzalez1st @ConoceEcuador_ @LOVREGA Y tú cómo sabes tanto pues?

La haces de inspector sanitario o k transa?,… https://t.co/Ipl9DRQZy0",Fri Apr 03 00:16:54 +0000 2020,"Sonora, Hermosillo, Vicente Guerrero",R,-111.498181,28.9698625,5,,
"La espera en la fila del Sam's y de Walmart no fue lo difícil. 

Lo difícil fue pasar el control sanitario de mi ma… https://t.co/nY0Quq1194",Fri Apr 03 01:35:31 +0000 2020,"Jalisco, Zapopan, Las Palomas",R,-103.4847745,20.790657,0,,
