Tweet,Fecha,Locacion,Tipo,Longitud,Latitud,Poblacion,
"Unpopular opinion: el papel higiénico solo se deposita el cesto cuando limpias pipi, si limpias popo va en excusado.",Fri May 29 17:29:50 +0000 2020,"Jalisco, Mascota, Las Vegas",R,-105.1485805,20.6970525,6,
@Jedisk8r92 Es horrible. Me da asco ver cómo se comportan los policías y cómo son excusados por sus acciones.,Sun May 31 07:39:58 +0000 2020,"Baja California, Playas de Rosarito, Mesa Redonda",R,-116.929102,32.3328765,9,
"@Lizgottik O picadura de alacrán en el f...ondo de su corazón

Justo después de tirar el antídoto al excusado...",Sun May 31 18:05:05 +0000 2020,"Jalisco, Zapopan, Las Palomas",R,-103.4847745,20.790657,0,
"@DamianAlcazar el CACAS caerá en el excusado de la historia. Dedicate a actuar, para la política no tienes cerebro",Tue Jun 02 19:05:36 +0000 2020,"Baja California, Mexicali, Ejido José Saldaña Número 2",R,-115.22918,31.7896695,19,
"https://t.co/QP8XRPQHm7 presidenta de @PartidoMorenaMx de Quintana Roo, ebria e insultando zoesmente, un boca peor que un excusado",Wed Jun 03 20:12:14 +0000 2020,"Ciudad de México, Coyoacán, Coyoacán",U,-99.15234,19.328383,614447,
"@JLMNoticias Sin duda una basura, como puede tener un puesto de representante sólo sera del excusado",Thu Jun 04 19:05:06 +0000 2020,"Ciudad de México, Benito Juárez, Benito Juárez",U,-99.1614805,19.380613,434153,
"@EnriqueAlfaroR Hijole treinta días después te enteras y aplicas, seras buen presidente de tu excusado.",Sat Jun 06 04:11:51 +0000 2020,"Tabasco, Paraíso, Moctezuma 3ra. Sección",R,-93.251014,18.3567945,878,
@BeatrizGMuller Si ese chocoflan merece ser excusado,Fri Jun 19 03:39:39 +0000 2020,"Ciudad de México, Cuajimalpa de Morelos, Convento del Desierto de los Leones",R,-99.3055805,19.318697,0,
"@FedericoArreola Hay que desquitar la quincena Don Fede, aunque eso implique ponerse a limpiar los excusados de sus patrones.",Sun Jun 21 12:56:04 +0000 2020,"Jalisco, Zapopan, Las Palomas",R,-103.4847745,20.790657,0,
@LeonEconomista @hdemauleon Como el agua..... pero del excusado cab....,Sun Jun 21 20:28:24 +0000 2020,"Sinaloa, Culiacán, Santa Lucía",R,-107.3420565,24.6624885,0,
@JLozanoA Con ustedes ni al excusado porque se roban hasta el papel.,Tue Jun 23 20:39:12 +0000 2020,"Oaxaca, Santa María Atzompa, El Llano [Paraje]",R,-96.7897765,17.082696,42,
"Me senté en el excusado y respiré, una y otra vez. Mis manos ya no estaban gordas. Salí y vi a mi amiga -recuerdan,… https://t.co/Do5zE6auTM",Fri Jun 26 06:48:20 +0000 2020,"Hidalgo, Zempoala, Zempoala",U,-98.668364,19.9233535,7205,
Calma la está buscando en el excusado. https://t.co/7YPbzwyP3Z,Mon Jun 29 15:47:29 +0000 2020,"Jalisco, Guadalajara, Guadalajara",U,-103.335882,20.676652,1385621,
@nidiazull @EduarGzz32 @elciempies Nunca se ha tapado ni excusado nada. Los errores han sido señalados formados y r… https://t.co/UoTXdjrezL,Tue Jun 30 16:43:14 +0000 2020,"Nuevo León, Monterrey, Monterrey",U,-100.2935915,25.6417185,1142952,
"Siguiendo con mi huevo, les cuento que así amaneció 🙃 me dijeron que lo tirara por el excusado y cuando lo tiré la… https://t.co/xVI5KLf6OX",Thu Jul 02 14:52:04 +0000 2020,"Tamaulipas, Victoria, La Esperanza",R,-99.187904,23.685934,0,
Cómo jalarle al excusado..,Sun Jul 05 00:21:25 +0000 2020,"Jalisco, San Pedro Tlaquepaque, Colonia Cerro del Cuatro",R,-103.348324,20.592133,0,
Estaba cagando y al levantarme al mismo tiempo se cayó la tapa del excusado y me acarició las nalgas y es todo el sexo que tendré este día.,Tue Jul 07 05:03:11 +0000 2020,"Nayarit, Tepic, Piedra China",R,-104.8725575,21.626666,16,
"BOGOTA, COLOMBIA #TBT 👉🏻 2005 • Watchavato en el estudio de EXCUSADOS #Street #Ilegal #Bogota #Colombia 🇨🇴 en Mexic… https://t.co/toZS4Eoa78",Tue Jul 07 15:03:43 +0000 2020,"Ciudad de México, Cuauhtémoc, Cuauhtémoc",U,-99.153366,19.432836,545884,
"BOGOTA, COLOMBIA #TBT 👉🏻 2005 • Watchavato en el estudio de EXCUSADOS #Street #Ilegal #Bogota #Colombia 🇨🇴 en Mexic… https://t.co/iFuAGof0ri",Tue Jul 07 15:08:48 +0000 2020,"Ciudad de México, Cuauhtémoc, Cuauhtémoc",U,-99.153366,19.432836,545884,
"@Sr__German A lo mejor si, pero está tan chiquito que no se dio cuenta y lo tiró por el excusado",Wed Jul 08 04:53:59 +0000 2020,"México, Toluca, Toluca de Lerdo",U,-99.655676,19.2843215,223876,
@MartinA_Solorio @JLozanoA Ni para lavar los excusado,Thu Jul 09 21:15:55 +0000 2020,"Durango, Durango, Metates (Tenchontle)",R,-104.837578,23.9541625,194,
Cuando me salpica el culo el agua del excusado,Thu Jul 09 21:56:29 +0000 2020,"Ciudad de México, Cuauhtémoc, Cuauhtémoc",U,-99.153366,19.432836,545884,
"Cuando me salpica el culo, el agua de un excusado publico 🚽",Thu Jul 09 21:57:44 +0000 2020,"Ciudad de México, Cuauhtémoc, Cuauhtémoc",U,-99.153366,19.432836,545884,
"@Genrus En el excusado de los sabores, juntito al chayote, sugiero.",Tue Jul 14 21:54:02 +0000 2020,"Ciudad de México, Coyoacán, Coyoacán",U,-99.15234,19.328383,614447,
@EzequielCGA Estás excusado. 🤭,Wed Jul 15 14:20:29 +0000 2020,"Chihuahua, Juárez, Luis Carlos Ruiz",R,-106.568008,31.452274,0,
@bta_Demian Lava excusados en una cantina!!!,Thu Jul 16 04:24:55 +0000 2020,"Veracruz de Ignacio de la Llave, Veracruz, El Zapote",R,-96.2293965,19.183953,10,
@ImagenTVMex @lopezobrador_ @GN_MEXICO_ Ya hasta de ganadores trabajan limpiando pisos y excusados,Fri Jul 17 01:28:02 +0000 2020,"Querétaro, Querétaro, El Huizachal de las Tetillas",R,-100.4405945,20.7152745,97,
"Coincido y suscribo.
La porquería al excusado.",Fri Jul 17 17:40:36 +0000 2020,"Puebla, Coronango, Real del Bosque",R,-98.2613415,19.1193045,30,
Nunduva Yaa en Casa Serrano Uno de mis mejores conciertos que mi oído ha excusado https://t.co/vXrymlCXhA vía @YouTube,Mon Jul 20 02:41:47 +0000 2020,"Jalisco, San Pedro Tlaquepaque, Colonia Cerro del Cuatro",R,-103.348324,20.592133,0,
"@HernanGomezB Hablando de conflicto de intereses, @JohnMAckerman se debió de haber excusado en la evaluación de Tal… https://t.co/BC1q1Zsqfm",Mon Jul 20 16:13:09 +0000 2020,"Tamaulipas, Victoria, La Esperanza",R,-99.187904,23.685934,0,
"Cuando entras a un baño de la universidad, entras al excusado y por debajo de la separación sale y mano y te ofrece… https://t.co/YxsPT1Veop",Wed Jul 22 14:16:37 +0000 2020,"Jalisco, Guadalajara, Guadalajara",U,-103.335882,20.676652,1385621,
"Buenos días @ferbelaunzaran 
Jajaja
A alguien se le fué su reputación al excusado.
Ya lo sabíamos solo faltaba hace… https://t.co/H60CdK8CBW",Fri Jul 24 14:38:57 +0000 2020,"Ciudad de México, La Magdalena Contreras, La Magdalena Contreras",U,-99.2480095,19.318042,246428,
"Mejor al excusado y le jalamos la palanca, para que el tipo se encuentre con su elemento https://t.co/H7rMzdTQb0",Mon Jul 27 18:29:56 +0000 2020,"Baja California, Mexicali, Ejido José Saldaña Número 2",R,-115.22918,31.7896695,19,
"@_VicenteSerrano @GalindoCartones @RicardoAnayaC Imaginate metido en el excusado por 8 horas, debido a la diarrea q… https://t.co/su4VxfbsUZ",Wed Jul 29 08:18:19 +0000 2020,"México, Ecatepec de Morelos, Ecatepec de Morelos",U,-99.0444445,19.56828,1643623,
Van a acabar en excusado,Sun Aug 02 01:42:54 +0000 2020,"México, Cuautitlán Izcalli, Las Tinajas",R,-99.233657,19.6562895,1472,
@hbdomecq @Otto2025 @PabloHiriart Aunque necesite urgentemente un lava excusados jamás contrataría a Gatell.,Sun Aug 02 04:07:13 +0000 2020,"Ciudad de México, Cuauhtémoc, Cuauhtémoc",U,-99.153366,19.432836,545884,
"@politicosmex @macariomx @GobiernoMX Pudo haberse excusado @GobiernoMX con una nota diplomática ""con la pena pero s… https://t.co/BSBGz35bk7",Sat Aug 08 00:47:12 +0000 2020,"Nuevo León, García, El Pedregal",R,-100.640491,25.8057225,2,
"""Harry, si te mueres ahí abajo, podemos compartir mi excusado."" 

Qué adorable.",Mon Aug 10 05:12:03 +0000 2020,"Colima, Manzanillo, La Compuerta [Obradores]",R,-104.36338,19.128538,0,
"@Alesidenew Mi Papá E. P. D. decía Te Voy A Voltear El Comedor Pará El Excusado, Sé Oye Feo Pero Es Similar 😂🤣😂🤣😂🤣🤣",Tue Aug 11 13:49:17 +0000 2020,"Puebla, Puebla, Fundadores del Ejido Colonia Chapultepec",R,-98.1542665,19.0322295,550,
Que meta la cara al excusado y le jale,Thu Aug 13 20:55:32 +0000 2020,"Quintana Roo, Benito Juárez, Los García",R,-87.0316645,21.048719,0,
"@cesamo70 @lopezobrador_ @padresolalinde El padre tiene razón,solo algunas legiones Prianistas se andan cagando fuera del excusado.",Sat Aug 15 01:44:50 +0000 2020,"Chihuahua, Juárez, Luis Carlos Ruiz",R,-106.568008,31.452274,0,
"@h_isabel104 Amargada ,x1000 si no te late ahogate en el excusado",Sun Aug 16 04:07:11 +0000 2020,"Ciudad de México, La Magdalena Contreras, La Magdalena Contreras",U,-99.2480095,19.318042,246428,
@jose_anton Solo en el excusado,Sun Aug 16 22:54:04 +0000 2020,"Sinaloa, Culiacán, Santa Lucía",R,-107.3420565,24.6624885,0,
"@mcmaricarmen @lopezobrador_ Pues puedes seguir ladrando, pinche momia. Tus palabras las tiramos al excusado y nos… https://t.co/kOnipweZXE",Tue Aug 18 18:23:04 +0000 2020,"Ciudad de México, Venustiano Carranza, Venustiano Carranza",U,-99.087817,19.4320755,443704,
"A Andrés Manuel le dicen el calcetín,  abre la boca para meter la pata, y le dicen la tapa de excusado, se abre sol… https://t.co/53kQ8eBtis",Fri Aug 21 16:05:13 +0000 2020,"Jalisco, Mascota, Las Vegas",R,-105.1485805,20.6970525,6,
@luisantgarcia @CarlosLoret @lopezobrador_ Ya cara chueca. Haces una tormenta de caca en un excusado vacío. Deberás… https://t.co/F2y1p3SUeJ,Sat Aug 22 01:18:53 +0000 2020,"Oaxaca, San Pedro Mixtepec, El Zapote",R,-97.0558365,15.942708,0,
Existirá un excusado donde quepa semejante cabus?,Sat Aug 22 03:43:27 +0000 2020,"Ciudad de México, Tlalpan, Cañada del Acueducto",R,-99.208364,19.199485,161,
@erikaslas Excusados,Thu Aug 27 16:59:30 +0000 2020,"San Luis Potosí, San Luis Potosí, Jorge Ramos",R,-100.955511,22.3111195,0,
"Oops, ¿Se puede mejorar el excusado de la secundaria?",Sat Aug 29 15:33:31 +0000 2020,"Nuevo León, Guadalupe, Las Escobas",R,-100.196134,25.6766035,3,
@EulalioGon Estas excusado,Wed Sep 09 21:07:11 +0000 2020,"Baja California Sur, Los Cabos, La Cuesta de la Palma",R,-109.7662685,23.269879,2,
"Ya habló el boss @franco_esca.
Vaya manera de tirar una carrera por el excusado. https://t.co/siEMAqSvgj",Sat Sep 12 02:22:46 +0000 2020,"Quintana Roo, Benito Juárez, Los García",R,-87.0316645,21.048719,0,
Mejor que se siente en el excusado ahí si le queda.,Tue Sep 15 21:46:04 +0000 2020,"Querétaro, Querétaro, El Huizachal de las Tetillas",R,-100.4405945,20.7152745,97,
"En una de todas las anécdotas de Godín, hoy se me cayó al excusado el teléfono de la empresa 😔 valiendo como siempre!",Thu Sep 17 19:06:39 +0000 2020,"Jalisco, Cocula, Santa María",R,-103.8417275,20.4034565,640,
"Arte de excusado. WcArt en Ixtapa, Guerrero https://t.co/0KcfDlBtal",Fri Sep 18 23:40:37 +0000 2020,"Guerrero, Zihuatanejo de Azueta, Rancho la Laguna",R,-101.457015,17.8005545,22,
Es un excusado,Sat Sep 19 18:49:51 +0000 2020,"México, Cuautitlán Izcalli, Las Tinajas",R,-99.233657,19.6562895,1472,
"No importa si sigues a supermodelos, políticos o intelectuales: la mayoría de sus tuits se escriben desde el excusado.",Sun Sep 27 07:09:07 +0000 2020,"Ciudad de México, Cuauhtémoc, Cuauhtémoc",U,-99.153366,19.432836,545884,
"“En la antigua Roma, los antiguos senadores discutían las leyes sentados en excusados mientras cagaban. Creo que se… https://t.co/glTKyqCoKa",Mon Oct 05 19:41:28 +0000 2020,"Baja California, Mexicali, Ejido José Saldaña Número 2",R,-115.22918,31.7896695,19,
"@ReyesRdzM Excusado
#RenunciaReyesRodriguez",Tue Oct 06 07:00:22 +0000 2020,"Jalisco, Guadalajara, Guadalajara",U,-103.335882,20.676652,1385621,
@L3Luisa Si para que se vaya por el excusado,Wed Oct 14 04:09:25 +0000 2020,"Ciudad de México, La Magdalena Contreras, La Magdalena Contreras",U,-99.2480095,19.318042,246428,
@ferbelaunzaran @empanadajodona @CitlaHM La puerca ignorante es una marrana campante. Pobres excusados.,Sun Oct 18 19:49:07 +0000 2020,"Querétaro, Querétaro, El Huizachal de las Tetillas",R,-100.4405945,20.7152745,97,
@A_ausdenRuthen Deja tú las celdas: el excusado!,Sun Oct 18 22:13:41 +0000 2020,"Querétaro, Querétaro, El Huizachal de las Tetillas",R,-100.4405945,20.7152745,97,
"@andreaaa027 @SuGar_Pz @CitlaHM La puerca no tendrá forma de ocultarse. De hecho, ocupará dos celdas. Pobres excusados.",Mon Oct 19 00:17:53 +0000 2020,"Querétaro, Querétaro, El Huizachal de las Tetillas",R,-100.4405945,20.7152745,97,
No a cual irle ..que metan la cara al excusado y le jalen 🙏,Mon Oct 19 04:44:50 +0000 2020,"Quintana Roo, Benito Juárez, Los García",R,-87.0316645,21.048719,0,
@alex_dm71 @RiosCorona222 Se proyecta la cenagorda... mamut si es... pobres excusados!,Mon Oct 19 20:18:48 +0000 2020,"Querétaro, Querétaro, El Huizachal de las Tetillas",R,-100.4405945,20.7152745,97,
Ya le van a cerrar el excusado?? https://t.co/WAhmbN3IQK,Tue Oct 20 17:18:19 +0000 2020,"Ciudad de México, Benito Juárez, Benito Juárez",U,-99.1614805,19.380613,434153,
@CenaidaKilos Percudido el cuello... pobre papel sanitario... pobres excusados con esta engendra,Tue Oct 20 19:21:27 +0000 2020,"Querétaro, Querétaro, El Huizachal de las Tetillas",R,-100.4405945,20.7152745,97,
"@mario_delgado @lopezobrador_ Gobiérnate, Doblado. Gobiérnate. Tus desviaciones te rebasan. Eres un excusado de baño público.",Tue Oct 20 19:26:27 +0000 2020,"Querétaro, Querétaro, El Huizachal de las Tetillas",R,-100.4405945,20.7152745,97,
Uno puede llorar hasta con la palabra “excusado” si tiene ganas de llorar. Y esto es lo que hoy me pasa . Estoy dis… https://t.co/vl9xJ5skOY,Thu Oct 22 06:10:34 +0000 2020,"Puebla, Puebla, Fundadores del Ejido Colonia Chapultepec",R,-98.1542665,19.0322295,550,
Critican a Enrique Iglesias por posar en el excusado con su Latin Billboard: Cibernautas cuestionaron la importanci… https://t.co/rMrCSxLj3H,Thu Oct 22 14:27:14 +0000 2020,"Ciudad de México, Benito Juárez, Benito Juárez",U,-99.1614805,19.380613,434153,
@EstherPantoja26 Anda buscando excusados resistentes,Thu Oct 22 17:52:20 +0000 2020,"Querétaro, Querétaro, El Huizachal de las Tetillas",R,-100.4405945,20.7152745,97,
#LadyGuacala hazme favor de meter la cara al excusado! Ahhh y porfa..le jalas!!!!,Mon Oct 26 13:07:29 +0000 2020,"Quintana Roo, Benito Juárez, Los García",R,-87.0316645,21.048719,0,
"@hdemauleon Tan profesionales que se ven en lo que hacen y salen con estas publicaciones, quedan excusados todos lo… https://t.co/VUNw5hX8iX",Mon Oct 26 19:26:14 +0000 2020,"Coahuila de Zaragoza, Viesca, El Alto del Palomillo",R,-103.23313,25.244223,0,
Tiempo oficial para ponerle calcetín de peluche al excusado y no enfriarse las naylons 👍🏻,Thu Oct 29 18:51:49 +0000 2020,"Nuevo León, Monterrey, Monterrey",U,-100.2935915,25.6417185,1142952,
"#PifiaGarrafalDelINE al haber reconocido esos partidos,  dinero tirado al excusado",Thu Oct 29 18:54:16 +0000 2020,"Tabasco, Centro, Medellín y Pigua 1ra. Sección",R,-92.9164995,18.0219595,352,
Ya solo falta que #ElCacasObrador diga que los excusados se usan en su contra !Y es verdad¡ 💩🤣🤣… https://t.co/QJ0p6FjMwX,Sat Nov 14 20:51:19 +0000 2020,"Yucatán, Mérida, Palestino Necaxa",R,-89.623611,20.941035,0,
@bta_Demian Ni para lavar el excusado...,Tue Nov 24 18:48:36 +0000 2020,"Querétaro, El Marqués, El Cardenal [Rancho]",R,-100.2783405,20.7456405,0,
"@Donvix La peste que va a salir de ese ""excusado"" de baño público, va a ser como si le hubieran dado a uno, un buen patadon en la nariz",Wed Nov 25 01:47:22 +0000 2020,"Jalisco, Guadalajara, Guadalajara",U,-103.335882,20.676652,1385621,
@qtf Piensa mas un excusado o taza de baño que la cabeza de esta tipa! 🚽🚽🚽🚽🚽🚽🚽🚽🚽😹😹😹😹😹😹😹😹😹😹,Wed Nov 25 12:47:48 +0000 2020,"México, Nezahualcóyotl, Nezahualcóyotl Segundo [Relleno Sanitario]",R,-99.0170165,19.432722,23,
"@PKSsoy @Contramar01 Si su boca es una de las salidas del excusado, la principal, sus fieles son el equivalente a cañeria.",Sun Nov 29 16:17:27 +0000 2020,"Ciudad de México, Miguel Hidalgo, Miguel Hidalgo",U,-99.2115105,19.4299345,414470,
"@Tarzan_Koa Ese es mi destino, amigo.  Morir cagando en el excusado, tal como Chris Farley.",Tue Dec 01 03:51:07 +0000 2020,"Nuevo León, Guadalupe, Las Escobas",R,-100.196134,25.6766035,3,
parece tasa de excusado,Tue Dec 08 02:06:59 +0000 2020,"Sonora, Hermosillo, Vicente Guerrero",R,-111.498181,28.9698625,5,
"@author_cravioto hay bienestar micro y familiar.eres fskesamarillista
papelpalexcusadoseudointelectual.endiciones
b",Tue Dec 08 21:32:05 +0000 2020,"Veracruz de Ignacio de la Llave, Poza Rica de Hidalgo, Poza Rica de Hidalgo",U,-97.4474945,20.536509,180057,
@elsaltillense Los Chuchos del PRD .. pero se van pronto al excusado,Sat Dec 19 05:12:21 +0000 2020,"México, Coacalco de Berriozábal, Bosques de Coacalco",R,-99.0903035,19.626005,99,
"No ps chingon que la noticia del Ame sea la renovación del Merma.

Hasta los huevos del excusados",Mon Dec 28 01:53:34 +0000 2020,"Ciudad de México, Gustavo A. Madero, Gustavo A. Madero",U,-99.1158905,19.518656,1173351,
Siboldi y Aquino se caen... Un trabajo más del excusados #FueraBaños,Mon Dec 28 03:45:53 +0000 2020,"Ciudad de México, Gustavo A. Madero, Gustavo A. Madero",U,-99.1158905,19.518656,1173351,
Lo positivo es que son 6 meses nomas de aguantar la ineptitud de Santiago Excusados,Mon Dec 28 23:39:31 +0000 2020,"Ciudad de México, Gustavo A. Madero, Gustavo A. Madero",U,-99.1158905,19.518656,1173351,
@CenaidaKilos Pobres excusados...,Tue Dec 29 18:35:19 +0000 2020,"Querétaro, Querétaro, El Huizachal de las Tetillas",R,-100.4405945,20.7152745,97,
@bta_Demian La tiró al excusado,Wed Dec 30 00:18:49 +0000 2020,"Querétaro, El Marqués, El Cardenal [Rancho]",R,-100.2783405,20.7456405,0,
@Ddgoofy Tú estás excusado no hay pedo.,Sat Jan 02 01:11:17 +0000 2021,"Nuevo León, Monterrey, Monterrey",U,-100.2935915,25.6417185,1142952,
Además tuiter ¡es el excusado de la cantina!,Fri Jan 08 01:06:29 +0000 2021,"Nuevo León, Guadalupe, Las Escobas",R,-100.196134,25.6766035,3,
"Qué no era mejor tener a Haret en vez de Silva??

PTM, pinche excusados",Sun Jan 10 21:01:13 +0000 2021,"Ciudad de México, Gustavo A. Madero, Gustavo A. Madero",U,-99.1158905,19.518656,1173351,
"Sucedió mi peor pesadilla:
Fui al baño de mi novia y se tapó el excusado.
Cadena de oración para que no termine conmigo 🙏.",Thu Jan 14 02:32:34 +0000 2021,"Yucatán, Mérida, Palestino Necaxa",R,-89.623611,20.941035,0,
"@penileyramirez Duro y a la cabeza, esto está poniéndose bueno, como jalar la cadena del inodoro o excusado,y está… https://t.co/dgRkeEENqT",Sat Jan 16 18:00:48 +0000 2021,"Ciudad de México, Coyoacán, Coyoacán",U,-99.15234,19.328383,614447,
"@soniachocron Quedan excusados todos sus ""grabbing to the pussy"" a centenares de jovencitas a su paso, y las ""dozen… https://t.co/Kt2kDDXdt2",Sun Jan 17 20:32:03 +0000 2021,"Ciudad de México, Cuajimalpa de Morelos, Convento del Desierto de los Leones",R,-99.3055805,19.318697,0,
"@RAEinforma  ¡buenos días! Tengo una pregunta:
¿Qué es correcto? ¿Escusado o excusado? Hablando del retrete.",Thu Jan 21 12:19:05 +0000 2021,"Ciudad de México, Xochimilco, Tlacualleli (El Calvario)",R,-99.08179,19.2362445,91,
@RAEinforma  #DudaRAE ¿qué es correcto? ¿Escusado o excusado? (Hablando del retrete),Thu Jan 21 13:10:06 +0000 2021,"Ciudad de México, Xochimilco, Tlacualleli (El Calvario)",R,-99.08179,19.2362445,91,
"Levantarse al baño a esta hora de la mañana con este frío, aunado al frío del excusado, debe ser la manera en que D… https://t.co/VGR4D8VJY8",Fri Jan 22 08:15:55 +0000 2021,"Jalisco, Zapopan, Las Palomas",R,-103.4847745,20.790657,0,
@JJDiazMachuca La Zoppy es un trapeador de excusado público.,Fri Jan 22 20:46:15 +0000 2021,"Querétaro, Querétaro, El Huizachal de las Tetillas",R,-100.4405945,20.7152745,97,
Los problemas hay que tirarlos por el excusado 👌😌,Tue Jan 26 18:56:24 +0000 2021,"Jalisco, Zapotlanejo, J. Isabel Flores",R,-103.0757815,20.642842,332,
Se cambió de excusado nadamas,Wed Feb 03 03:48:33 +0000 2021,"Ciudad de México, Tláhuac, Las Calabacitas",R,-99.050461,19.3427885,19,
"@monerohernandez Quadri en Coyoacán como candidato?, que hacer?, pues al excusado de la historia, ningún voto para el PAN!!!",Fri Feb 05 05:43:49 +0000 2021,"Ciudad de México, Iztacalco, Iztacalco",U,-99.096496,19.399101,404695,
